title,product_id,url,price,rating,Num_reviews_for_product,favorited_by,store_name,store_sales,store_url,Num_reviews_for_store,reviews
Adult TRIBLEND Breathable 3D Face Mask w/ Filter Pocket Washable Reusable Anti-Dust (Made in USA) by Tough Cookie Clothing,776307722,www.etsy.com/listing/776307722,5.50,4.64,"4,775",11094,ToughCookieClothing,"283,677",https://www.etsy.com/shop/ToughCookieClothing,"18,900","Niki Presson,  Jun 15, 2020,Gina Gheller,  Jun 15, 2020,Angela,  Jun 15, 2020,carchip,  Jun 15, 2020"
"100% Reusable Alternative Mask, Washable 50 times at 60o ,Fabrics mask, tecido facial Mscara",784483244,www.etsy.com/listing/784483244,8.12,4.76,203,338,Creationlaparisienne,"4,426",https://www.etsy.com/shop/Creationlaparisienne,474,"Ginette,  Jun 11, 2020,Eva,  Jun 10, 2020,nathalie burg,  Jun 8, 2020,Doris,  Jun 6, 2020"
Face Masks Made in USA - 100% Cotton | 3 Layers,807279643,www.etsy.com/listing/807279643,12.00,4.91,29,69,PorterUS,"1,375",https://www.etsy.com/shop/PorterUS,144,"judyumass,  Jun 15, 2020,william,  Jun 11, 2020,Jenny,  Jun 11, 2020,Robin Brison,  Jun 9, 2020"
Cotton  Face Mask - Ready To Ship - Washable - Reusable -  Filter Pocket - Adult Face Mask - Face Cover - FAST Shipping from USA,797504126,www.etsy.com/listing/797504126,7.99,4.78,31,700,TaniriDesigns,"4,430",https://www.etsy.com/shop/TaniriDesigns,199,"Lori Kinser,  Jun 15, 2020,Donna,  Jun 15, 2020,Sarah,  Jun 13, 2020,Sharon,  Jun 13, 2020"
Women's Face Masks \ Adult Masks \ Mommy + Me \ Reusable Washable Cloth Masks for Ladies \ Made in the USA \ Free Shipping over 35 dollars,820360701,www.etsy.com/listing/820360701,12.00,4.93,,115,GoodDayMasks,"22,670",https://www.etsy.com/shop/GoodDayMasks,,"nemo22657,  Jun 15, 2020,amandarini12,  Jun 15, 2020,KayCee Hall,  Jun 15, 2020,KayCee Hall,  Jun 15, 2020"
Reusable Face Mask w/ Filter Pocket - Made in Canada - black - great for travel and everyday errands,816312763,www.etsy.com/listing/816312763,9.21,4.58,,29,SophiePhotoProps,488,https://www.etsy.com/shop/SophiePhotoProps,,"Kim,  Jun 5, 2020,Kevin,  Jun 4, 2020,Asha,  Jun 12, 2020,Rachel Marin,  Jun 11, 2020"
Basic Masks- Large,786841148,www.etsy.com/listing/786841148,6.00,4.85,,14,NotJustEars,165,https://www.etsy.com/shop/NotJustEars,,"Mercurial Me,  May 29, 2020,Mercurial Me,  May 29, 2020,Kristina Webster,  Jun 15, 2020,Kathryn,  Jun 2, 2020"
3D Trendy Face Mask Unisex Cotton Eco-friendly Multicolor Masks | Keep Cool For Summer Breathable and Comfortable | Skin-friendly Design,820464779,www.etsy.com/listing/820464779,9.95,2.5,,19,facemaskny,343,https://www.etsy.com/shop/facemaskny,,"seperez1990,  Jun 11, 2020,Ms. Closet,  Jun 4, 2020"
"Wonder Woman Face Mask, Face Mask with Filter Pocket, Breathable Face Mask, Reusable Face Mask, Washable Face Mask, Stretchable, Made in USA",805444628,www.etsy.com/listing/805444628,10.95,4.81,,63,MPMCouture,"1,384",https://www.etsy.com/shop/MPMCouture,,"peterscindy1,  Jun 5, 2020,Ashley Dianne,  Jun 2, 2020,Roselyn Morgan,  Jun 2, 2020,Faye Campbell,  May 21, 2020"
"Handmade mask, washable face mask, Floral mask, adult face mask",776853136,www.etsy.com/listing/776853136,4.00,4.86,4,83,Kmardll,387,https://www.etsy.com/shop/Kmardll,35,"patricia ramirez,  Jun 8, 2020,Jackie Young,  May 24, 2020,Lea Nelson,  May 21, 2020,Michael Marsh,  May 4, 2020"
